grau_medio,assortatividade,coef_clusterizacao,transitividade,entropia,media_dos_menores_caminhos,intermediacao_media,ponto_central_de_dominancia,diametro,metrica_s,qtd_baricentros,excentricidade_media,cor_grau_e_grau_medio_vizinhos,cor_grau_e_proximidade,cor_grau_e_cliques,Rede Social,Iteracao
8.0,0.0076949819922447205,0.6225335597991943,0.6208814382553101,0.5017494559288025,13.428376197814941,0.004898847546428442,0.05564749985933304,29.0,651752.0,1.0,22.80267906188965,0.02456287480890751,0.08211144059896469,0.5796231627464294,adolescente,1
8.0,-0.014457897283136845,0.6242905855178833,0.6226105093955994,0.4871523380279541,13.99606704711914,0.005122612230479717,0.05248066410422325,34.0,651653.0,1.0,25.708547592163086,-0.04005586355924606,0.060426998883485794,0.606508195400238,adolescente,2
8.0,-0.009810095652937889,0.6244128346443176,0.6228895783424377,0.48157593607902527,14.234173774719238,0.005216465797275305,0.11290548741817474,35.0,651609.0,1.0,26.699094772338867,-0.027816560119390488,0.057448551058769226,0.5731299519538879,adolescente,3
8.0,4.3691474274965e-05,0.6248266696929932,0.6233372092247009,0.458122581243515,14.617026329040527,0.0053673735819756985,0.08126930147409439,37.0,651569.0,1.0,27.51004409790039,0.00044384945067577064,0.07488322257995605,0.563698410987854,adolescente,4
8.0,-0.012175711803138256,0.6284029483795166,0.6272217631340027,0.3920116722583771,15.945287704467773,0.005890929605811834,0.08137395977973938,36.0,651241.0,1.0,27.38637351989746,-0.03428909182548523,0.045058995485305786,0.570676863193512,adolescente,5
8.0,0.004167018458247185,0.6261292099952698,0.6246874332427979,0.44354212284088135,14.610481262207031,0.005364793818444014,0.06314975023269653,34.0,651492.0,1.0,25.42733383178711,0.014484668150544167,0.05311436206102371,0.5959241986274719,adolescente,6
8.0,0.006857060361653566,0.6262955069541931,0.6248559951782227,0.4468449056148529,14.535879135131836,0.005335387773811817,0.11337653547525406,32.0,651494.0,1.0,25.213075637817383,0.02571038529276848,0.05479210615158081,0.5760139226913452,adolescente,7
8.0,-0.021044153720140457,0.6261523365974426,0.6246031522750854,0.452515572309494,14.503504753112793,0.005322626791894436,0.06542594730854034,30.0,651473.0,1.0,24.782590866088867,-0.06033327057957649,0.06402289122343063,0.6082728505134583,adolescente,8
8.0,-0.005122617818415165,0.6251270771026611,0.6237093806266785,0.45381078124046326,14.605886459350586,0.0053629823960363865,0.06340447813272476,37.0,651501.0,1.0,28.250886917114258,-0.020102141425013542,0.0675230547785759,0.5624443888664246,adolescente,9
8.0,-0.008113273419439793,0.622560441493988,0.620737612247467,0.4943065345287323,13.163147926330566,0.004794303327798843,0.05861271545290947,29.0,651770.0,1.0,22.473020553588867,-0.025232793763279915,0.07345157116651535,0.595099925994873,adolescente,10
8.0,-0.00720794964581728,0.6272901296615601,0.6261591911315918,0.3995616137981415,15.697251319885254,0.005793161690235138,0.09277722984552383,37.0,651260.0,1.0,27.54115867614746,-0.02276741713285446,0.054817914962768555,0.5550149083137512,adolescente,11
8.0,-0.016030797734856606,0.6261132955551147,0.6247471570968628,0.44511982798576355,14.70163345336914,0.0054007223807275295,0.08309363573789597,37.0,651445.0,1.0,26.416305541992188,-0.04163596034049988,0.05777014419436455,0.6050676703453064,adolescente,12
8.0,-0.0035648359917104244,0.6204808354377747,0.6187894940376282,0.5270714163780212,13.006175994873047,0.004732430446892977,0.06111161783337593,31.0,651870.0,1.0,23.452539443969727,-0.011028951033949852,0.069366455078125,0.6091680526733398,adolescente,13
8.0,0.004498558584600687,0.6224310398101807,0.6208654642105103,0.4910258650779724,13.427194595336914,0.004898381885141134,0.06251241266727448,30.0,651701.0,1.0,23.38125228881836,0.013145629316568375,0.07558789104223251,0.554101824760437,adolescente,14
8.0,-0.008969628252089024,0.6255565285682678,0.6239956021308899,0.45429307222366333,14.639959335327148,0.005376412533223629,0.07515240460634232,33.0,651514.0,1.0,26.326505661010742,-0.023021318018436432,0.07179917395114899,0.565008282661438,adolescente,15
8.0,0.012674008496105671,0.6232062578201294,0.6215817928314209,0.4943143129348755,13.585451126098633,0.004960760939866304,0.06721770763397217,33.0,651708.0,1.0,24.09925079345703,0.0330059677362442,0.07464046031236649,0.5986518263816833,adolescente,16
8.0,-0.015654191374778748,0.624245285987854,0.6225683689117432,0.4871523380279541,14.052693367004395,0.005144932307302952,0.05918533727526665,30.0,651652.0,1.0,24.033082962036133,-0.04579336568713188,0.07555843889713287,0.5692899227142334,adolescente,17
8.0,0.015800122171640396,0.6245878338813782,0.622922956943512,0.4799405634403229,14.032283782958984,0.005136887542903423,0.0745273157954216,32.0,651646.0,1.0,24.424182891845703,0.04282084107398987,0.07408895343542099,0.551345944404602,adolescente,18
