grau_medio,assortatividade,coef_clusterizacao,transitividade,entropia,media_dos_menores_caminhos,intermediacao_media,ponto_central_de_dominancia,diametro,metrica_s,qtd_baricentros,excentricidade_media,cor_grau_e_grau_medio_vizinhos,cor_grau_e_proximidade,cor_grau_e_cliques,Rede Social,Iteracao
8.0,-0.053580641746520996,0.08696702122688293,0.08073313534259796,2.80100679397583,4.211084842681885,0.0012657016050070524,0.005017577670514584,6.0,709058.0,1.0,5.953918933868408,-0.16515962779521942,0.8365544676780701,0.9081531167030334,adolescente,1
8.0,-0.030535265803337097,0.08632810413837433,0.08094989508390427,2.7961230278015137,4.208999156951904,0.0012648794800043106,0.003367990255355835,6.0,709511.0,1.0,5.9428911209106445,-0.10302174091339111,0.8409901857376099,0.901696503162384,adolescente,2
8.0,-0.04763390123844147,0.08664115518331528,0.0803203210234642,2.8290998935699463,4.20634126663208,0.0012638317421078682,0.002914249897003174,6.0,711281.0,1.0,5.946435451507568,-0.14866626262664795,0.8302488327026367,0.904144823551178,adolescente,3
8.0,-0.04533999785780907,0.08222092688083649,0.07729849964380264,2.798185348510742,4.207732200622559,0.001264380058273673,0.0032419811468571424,6.0,709086.0,1.0,5.943678379058838,-0.13924086093902588,0.838301420211792,0.911534309387207,adolescente,4
8.0,-0.039202846586704254,0.07915132492780685,0.07397523522377014,2.824923038482666,4.19907808303833,0.001260968972928822,0.0032033054158091545,6.0,711816.0,1.0,5.930681228637695,-0.1188184916973114,0.8418353796005249,0.9118667244911194,adolescente,5
8.0,-0.049967557191848755,0.08564169704914093,0.0786503329873085,2.829155206680298,4.209129810333252,0.0012649309355765581,0.0037951269187033176,6.0,711636.0,1.0,5.96415901184082,-0.1502971053123474,0.8384996652603149,0.9115127921104431,adolescente,6
8.0,-0.029797960072755814,0.08300653100013733,0.07768740504980087,2.8196043968200684,4.205928802490234,0.001263669109903276,0.0031449811067432165,6.0,711041.0,1.0,5.944859981536865,-0.09234155714511871,0.8372199535369873,0.9072266221046448,adolescente,7
8.0,-0.041379332542419434,0.08140113204717636,0.07500199228525162,2.8687875270843506,4.196953773498535,0.001260131481103599,0.0038636967074126005,6.0,715922.0,1.0,5.936195373535156,-0.12320990860462189,0.8528774380683899,0.9111804366111755,adolescente,8
8.0,-0.03063826635479927,0.08219430595636368,0.07775922864675522,2.814674139022827,4.202630043029785,0.0012623689835891128,0.0033891177736222744,6.0,711125.0,1.0,5.936983108520508,-0.09181754291057587,0.8464351296424866,0.907605767250061,adolescente,9
8.0,-0.04053036868572235,0.08606269955635071,0.07858988642692566,2.8481318950653076,4.199803352355957,0.0012612546561285853,0.003289838321506977,6.0,714110.0,1.0,5.936195373535156,-0.12010345607995987,0.847051203250885,0.9089099168777466,adolescente,10
8.0,-0.035161666572093964,0.08138073235750198,0.07540883123874664,2.83341646194458,4.19795036315918,0.0012605244992300868,0.003207857720553875,6.0,713371.0,1.0,5.931075096130371,-0.11886002123355865,0.8435243964195251,0.906435489654541,adolescente,11
8.0,-0.05045474320650101,0.08750659227371216,0.08183126896619797,2.8326165676116943,4.210521221160889,0.0012654793681576848,0.00323433056473732,6.0,712497.0,1.0,5.946041584014893,-0.14538411796092987,0.8392662405967712,0.9082590937614441,adolescente,12
8.0,-0.04448511824011803,0.08656680583953857,0.08077369630336761,2.821106195449829,4.208217620849609,0.0012645714450627565,0.004667479544878006,6.0,711144.0,1.0,5.9480109214782715,-0.13442276418209076,0.8353941440582275,0.9039185047149658,adolescente,13
8.0,-0.045070745050907135,0.07555875182151794,0.0702420249581337,2.8059780597686768,4.193327903747559,0.0012587023666128516,0.0036081706639379263,6.0,709728.0,1.0,5.927924156188965,-0.13907039165496826,0.8490892648696899,0.9130734801292419,adolescente,14
8.0,-0.04869423806667328,0.08084823936223984,0.07538633793592453,2.8243796825408936,4.199294567108154,0.0012610541889443994,0.003112022764980793,6.0,711356.0,1.0,5.931468963623047,-0.13329555094242096,0.846929669380188,0.9133434295654297,adolescente,15
8.0,-0.06142600625753403,0.08889388293027878,0.08189182728528976,2.797901153564453,4.214597225189209,0.0012670860160142183,0.0035708805080503225,6.0,708869.0,1.0,5.9480109214782715,-0.1808760017156601,0.8394225239753723,0.9081394672393799,adolescente,16
8.0,-0.0410720594227314,0.08719232678413391,0.08151782304048538,2.830009937286377,4.213268280029297,0.001266562263481319,0.003898191498592496,6.0,712700.0,1.0,5.954312801361084,-0.12139401584863663,0.8521100878715515,0.909387469291687,adolescente,17
8.0,-0.03353516012430191,0.08216274529695511,0.07706613838672638,2.787794828414917,4.2051520347595215,0.001263363054022193,0.004523768555372953,6.0,708665.0,1.0,5.943678379058838,-0.10130837559700012,0.8447550535202026,0.9054271578788757,adolescente,18
8.0,-0.05125037580728531,0.08093657344579697,0.07643796503543854,2.831223964691162,4.200451374053955,0.0012615103041753173,0.003565428778529167,6.0,712365.0,1.0,5.935013771057129,-0.15665893256664276,0.8342902660369873,0.9031972289085388,adolescente,19
8.0,-0.05695996806025505,0.08228857815265656,0.07710093259811401,2.802558660507202,4.208864212036133,0.0012648262782022357,0.003317199181765318,6.0,709300.0,1.0,5.945647716522217,-0.16599421203136444,0.8390812873840332,0.902624249458313,adolescente,20
8.0,-0.04783148691058159,0.08141366392374039,0.07558922469615936,2.8380134105682373,4.203156471252441,0.0012625764356926084,0.002925892360508442,6.0,712027.0,1.0,5.948798656463623,-0.14490285515785217,0.8470696210861206,0.9153809547424316,adolescente,21
8.0,-0.049874767661094666,0.08673720061779022,0.08097943663597107,2.8271982669830322,4.212632656097412,0.0012663116212934256,0.0038048347923904657,6.0,712087.0,1.0,5.9551005363464355,-0.14561334252357483,0.8421627283096313,0.9057444334030151,adolescente,22
8.0,-0.02851169742643833,0.08326847851276398,0.07771357148885727,2.8153321743011475,4.203217506408691,0.0012626005336642265,0.004509707447141409,6.0,711900.0,1.0,5.9393463134765625,-0.09703720360994339,0.8370852470397949,0.9109668135643005,adolescente,23
8.0,-0.05138210579752922,0.07838647812604904,0.07336695492267609,2.8311219215393066,4.195980072021484,0.0012597477762028575,0.0029481458477675915,6.0,711578.0,1.0,5.933832168579102,-0.156081885099411,0.8438453674316406,0.9099379181861877,adolescente,24
8.0,-0.04786331579089165,0.07967846095561981,0.07394915074110031,2.8304409980773926,4.202742099761963,0.0012624131049960852,0.00413792859762907,6.0,712625.0,1.0,5.94052791595459,-0.14295169711112976,0.8508421182632446,0.9117835164070129,adolescente,25
