grau_medio,assortatividade,coef_clusterizacao,transitividade,entropy,Rede Social,Iteracao
1.9999144201968335,-0.059424918020152706,0.0,0.0,1.734281689369326,twitter-pequeno,1
1.9999144201968335,-0.07079900302273853,0.0,0.0,1.73644253913263,twitter-pequeno,2
1.9999144201968335,-0.0361430702093109,0.0,0.0,1.750191982946093,twitter-pequeno,3
1.9999144201968335,-0.04816817437154347,0.0,0.0,1.7507040831677452,twitter-pequeno,4
1.9999144201968335,-0.055238416611062824,0.0,0.0,1.7464756185022825,twitter-pequeno,5
1.9999144201968335,-0.05497142346903843,0.0,0.0,1.7394519053094895,twitter-pequeno,6
1.9999144201968335,-0.04144593659775952,0.0,0.0,1.7496928602171817,twitter-pequeno,7
1.9999144201968335,-0.03307970675893979,0.0,0.0,1.7419844300902774,twitter-pequeno,8
1.9999144201968335,-0.04673618890926534,0.0,0.0,1.7377537288979743,twitter-pequeno,9
1.9999144201968335,-0.04706364733693657,0.0,0.0,1.7511045471147704,twitter-pequeno,10
1.9993074792243768,-0.0885207794204018,0.0,0.0,1.7265103272289413,facebook,1
1.9993074792243768,-0.07518485935869576,0.0,0.0,1.7479958252297254,facebook,2
1.9993074792243768,-0.09670157105671774,0.0,0.0,1.7460852926997052,facebook,3
1.9993074792243768,-0.09672850837546407,0.0,0.0,1.7288069375319373,facebook,4
1.9993074792243768,-0.09071395228115157,0.0,0.0,1.7114720805208894,facebook,5
1.9993074792243768,-0.06315208648563174,0.0,0.0,1.741223496191841,facebook,6
1.9993074792243768,-0.09274877521878769,0.0,0.0,1.7111779415746962,facebook,7
1.9993074792243768,-0.11386825086017924,0.0,0.0,1.7495789496576473,facebook,8
1.9993074792243768,-0.0784414663789182,0.0,0.0,1.738424504085506,facebook,9
1.9993074792243768,-0.10361966053776143,0.0,0.0,1.7100542122034712,facebook,10
11.970321516900247,-0.045795513736258044,0.02409952149746969,0.01793794702953436,3.836035757929845,hamster,1
11.970321516900247,-0.04260953779167376,0.022560538252483532,0.017773837646155758,3.8318448450763283,hamster,2
11.970321516900247,-0.029503604038807328,0.02385169099370208,0.01936390485566388,3.8596894643853323,hamster,3
11.970321516900247,-0.036032363212331005,0.020600016412072156,0.0177017000642636,3.8371775428446266,hamster,4
11.970321516900247,-0.049854818255922875,0.023569122770808047,0.01780856377447154,3.8309135088073667,hamster,5
11.970321516900247,-0.0192626709216781,0.020205098080081887,0.01793855848074409,3.8656232242823387,hamster,6
11.970321516900247,-0.03942164331339037,0.023100393897006844,0.01755677125497796,3.838970457063553,hamster,7
11.970321516900247,-0.04456656082523726,0.02361605201678098,0.01766600335148722,3.830818915056307,hamster,8
11.970321516900247,-0.039760022958756115,0.024056999530861156,0.01807194849050354,3.8451299137365282,hamster,9
11.970321516900247,-0.03904135056036186,0.025818906608052916,0.01931360360685674,3.8392595420035898,hamster,10
