grau_medio,assortatividade,coef_clusterizacao,transitividade,entropy,Rede Social,Iteracao
2.8282413350449294,-0.0064881358169290495,5.2774211952645844e-05,9.678251892635926e-05,2.7318189752391957,twitter-pequeno,1
2.8120667522464697,0.010789529268102036,9.678668215253581e-05,9.725208821844981e-05,2.7369029725601735,twitter-pequeno,2
2.8178005990586223,0.003616368033784827,2.8628481773539537e-05,6.46461163845582e-05,2.7362110593193285,twitter-pequeno,3
2.79734702610184,-0.005516067286601951,4.1567332966562745e-05,9.811830887643635e-05,2.7355150767414442,twitter-pequeno,4
2.8129225502781345,-0.003415960745708999,8.33384273692361e-05,9.740786839114671e-05,2.73301869857615,twitter-pequeno,5
2.791099700470689,-0.006199092975660905,5.2366689080424644e-05,9.883159096898885e-05,2.7287557240333444,twitter-pequeno,6
2.797175866495507,0.0007983613329661129,7.702182284980746e-05,0.00013118194936376755,2.731048204762844,twitter-pequeno,7
2.8099272571673084,0.009400494013219095,0.00010103171207150666,9.695559433779329e-05,2.743237344853245,twitter-pequeno,8
2.82267864783911,0.0012505848433345976,9.026631619699658e-05,0.0001623165822620439,2.725885366834146,twitter-pequeno,9
2.780316645271716,0.001506213954859701,2.2923161562442692e-05,6.605601550114497e-05,2.7335374413539277,twitter-pequeno,10
2.011080332409972,-0.006902051731996563,0.0,0.0,2.4588167986235434,facebook,1
2.0740997229916895,0.0329600964162823,0.00119130061997098,0.0023441162681669013,2.5223920993710967,facebook,2
2.046398891966759,-0.009867388751894036,0.0006809787626962142,0.000982961992136304,2.488434792830598,facebook,3
2.1101108033241,-0.013339453624881682,0.0,0.0,2.479244761494665,facebook,4
2.110803324099723,0.001726810164216397,0.0006628413138108428,0.0013916808411937528,2.499950306077653,facebook,5
2.0921052631578947,-0.008280691127111967,0.0,0.0,2.496031419859502,facebook,6
2.0221606648199444,-0.011882902890124149,0.0,0.0,2.4478608991400135,facebook,7
2.0574792243767313,0.0001631827353700019,0.0005886426592797783,0.0009874917709019092,2.4783337908036733,facebook,8
2.033240997229917,-0.006269865230747859,0.0004971309853581321,0.0014742014742014742,2.495162868389972,facebook,9
2.0242382271468142,-0.008337676685036034,0.0010552697533306953,0.0015177065767284991,2.465229668037287,facebook,10
13.606760098928277,0.009167042335204965,0.005982981627149689,0.005944017198200395,3.9583636693972615,hamster,1
13.830173124484748,-0.007765956633713356,0.006032514178262342,0.006066510782021304,3.884778103371943,hamster,2
13.663643858202803,-0.0024557522572724497,0.00525752266174352,0.005123158795859111,3.915887882671395,hamster,3
13.690849134377576,-0.0017584129400232571,0.005739450459791488,0.005735025944164985,3.898970542740619,hamster,4
13.760923330585326,-0.0025355124564017156,0.005470377571009906,0.005330313983364543,3.9110677216125405,hamster,5
13.70651277823578,-0.0019641023340399534,0.00530787014571073,0.005325389188405415,3.9054260356358173,hamster,6
13.686727122835944,-0.006066448695972683,0.00491715743005165,0.004926735664384794,3.934588982031981,hamster,7
13.598516075845012,-0.002655465053171739,0.005404464198842144,0.005302813883730896,3.900392856019229,hamster,8
13.741962077493817,-0.015744577895091125,0.005492713680437111,0.005594600600417416,3.9378202833857934,hamster,9
13.691673536685903,0.01108168426459877,0.005946250829467277,0.006033281632009254,3.95449915323928,hamster,10
